SuperWEB2(tm)

"Census 2022-Person-2Gv2"
"Scotland's Census 2022 - National Records of Scotland Table UV102a - Age (single year) by sex All people"
"Health Board Area 2019 by Age by Sex by Individuals"
"Counting: Individuals"

Filters:
"Summation Options","Individuals"

"Counting","Health Board Area 2019","Age","Sex","Count",
"Individuals","Ayrshire and Arran","60","Male",2787
"Individuals","Ayrshire and Arran","61","All people",5725
"Individuals","Ayrshire and Arran","61","Female",2973
"Individuals","Ayrshire and Arran","61","Male",2752
"Individuals","Ayrshire and Arran","62","All people",5395
"Individuals","Ayrshire and Arran","62","Female",2850
"Individuals","Ayrshire and Arran","62","Male",2545
"Individuals","Ayrshire and Arran","63","All people",5697
"Individuals","Ayrshire and Arran","63","Female",2927
"Individuals","Ayrshire and Arran","63","Male",2772
"Individuals","Ayrshire and Arran","64","All people",5450
"Individuals","Ayrshire and Arran","64","Female",2874
"Individuals","Ayrshire and Arran","64","Male",2576
"Individuals","Ayrshire and Arran","65","All people",5177
"Individuals","Ayrshire and Arran","65","Female",2724
"Individuals","Ayrshire and Arran","65","Male",2453
"Individuals","Ayrshire and Arran","66","All people",5086
"Individuals","Ayrshire and Arran","66","Female",2650
"Individuals","Ayrshire and Arran","66","Male",2436
"Individuals","Ayrshire and Arran","67","All people",4904
"Individuals","Ayrshire and Arran","67","Female",2553
"Individuals","Ayrshire and Arran","67","Male",2351
"Individuals","Ayrshire and Arran","68","All people",4900
"Individuals","Ayrshire and Arran","68","Female",2551
"Individuals","Ayrshire and Arran","68","Male",2349
"Individuals","Ayrshire and Arran","69","All people",4780
"Individuals","Ayrshire and Arran","69","Female",2531
"Individuals","Ayrshire and Arran","69","Male",2247
"Individuals","Ayrshire and Arran","70","All people",4488
"Individuals","Ayrshire and Arran","70","Female",2363
"Individuals","Ayrshire and Arran","70","Male",2125
"Individuals","Ayrshire and Arran","71","All people",4525
"Individuals","Ayrshire and Arran","71","Female",2324
"Individuals","Ayrshire and Arran","71","Male",2197
"Individuals","Ayrshire and Arran","72","All people",4470
"Individuals","Ayrshire and Arran","72","Female",2331
"Individuals","Ayrshire and Arran","72","Male",2137
"Individuals","Ayrshire and Arran","73","All people",4641
"Individuals","Ayrshire and Arran","73","Female",2451
"Individuals","Ayrshire and Arran","73","Male",2190
"Individuals","Ayrshire and Arran","74","All people",4830
"Individuals","Ayrshire and Arran","74","Female",2537
"Individuals","Ayrshire and Arran","74","Male",2293
"Individuals","Ayrshire and Arran","75","All people",4681
"Individuals","Ayrshire and Arran","75","Female",2533
"Individuals","Ayrshire and Arran","75","Male",2149
"Individuals","Ayrshire and Arran","76","All people",3427
"Individuals","Ayrshire and Arran","76","Female",1846
"Individuals","Ayrshire and Arran","76","Male",1581
"Individuals","Ayrshire and Arran","77","All people",3540
"Individuals","Ayrshire and Arran","77","Female",1927
"Individuals","Ayrshire and Arran","77","Male",1611
"Individuals","Ayrshire and Arran","78","All people",3375
"Individuals","Ayrshire and Arran","78","Female",1807
"Individuals","Ayrshire and Arran","78","Male",1568
"Individuals","Ayrshire and Arran","79","All people",2971
"Individuals","Ayrshire and Arran","79","Female",1655
"Individuals","Ayrshire and Arran","79","Male",1313
"Individuals","Ayrshire and Arran","80","All people",2638
"Individuals","Ayrshire and Arran","80","Female",1516
"Individuals","Ayrshire and Arran","80","Male",1122
"Individuals","Ayrshire and Arran","81","All people",2385
"Individuals","Ayrshire and Arran","81","Female",1373
"Individuals","Ayrshire and Arran","81","Male",1012
"Individuals","Ayrshire and Arran","82","All people",2338
"Individuals","Ayrshire and Arran","82","Female",1330
"Individuals","Ayrshire and Arran","82","Male",1008
"Individuals","Ayrshire and Arran","83","All people",2123
"Individuals","Ayrshire and Arran","83","Female",1190
